dateTime_UTC,rainfall_mm_per_15min,newnham_park_level_m,carnwood_level_m
2025-11-12 08:00:00+00:00,0.0,0.57,1.077
2025-11-12 08:15:00+00:00,0.0,0.567,1.061
2025-11-12 08:30:00+00:00,0.6,0.555,1.043
2025-11-12 08:45:00+00:00,0.0,0.557,1.023
2025-11-12 09:00:00+00:00,0.0,0.549,1.003
2025-11-12 09:15:00+00:00,0.0,0.549,0.983
2025-11-12 09:30:00+00:00,0.1,0.546,0.965
2025-11-12 09:45:00+00:00,0.1,0.547,0.949
2025-11-12 10:00:00+00:00,0.2,0.541,0.933
2025-11-12 10:15:00+00:00,0.1,0.541,0.917
2025-11-12 10:30:00+00:00,0.2,0.537,0.903
2025-11-12 10:45:00+00:00,0.3,0.609,0.891
2025-11-12 11:00:00+00:00,0.0,0.61,0.879
2025-11-12 11:15:00+00:00,0.0,0.604,0.869
2025-11-12 11:30:00+00:00,0.7,0.611,0.861
2025-11-12 11:45:00+00:00,0.0,0.602,0.855
2025-11-12 12:00:00+00:00,0.0,0.601,0.847
2025-11-12 12:15:00+00:00,0.0,0.59,0.843
2025-11-12 12:30:00+00:00,0.0,0.588,0.837
2025-11-12 12:45:00+00:00,0.0,0.58,0.833
2025-11-12 13:00:00+00:00,0.0,0.587,0.829
2025-11-12 13:15:00+00:00,0.0,0.578,0.823
2025-11-12 13:30:00+00:00,0.0,0.57,0.819
2025-11-12 13:45:00+00:00,0.0,0.559,0.815
2025-11-12 14:00:00+00:00,0.0,0.564,0.811
2025-11-12 14:15:00+00:00,0.0,0.563,0.807
2025-11-12 14:30:00+00:00,0.0,0.556,0.803
2025-11-12 14:45:00+00:00,0.0,0.55,0.799
2025-11-12 15:00:00+00:00,0.0,0.553,0.795
2025-11-12 15:15:00+00:00,0.0,0.552,0.791
2025-11-12 15:30:00+00:00,0.0,0.534,0.785
2025-11-12 15:45:00+00:00,0.0,0.529,0.781
2025-11-12 16:00:00+00:00,0.0,0.529,0.777
2025-11-12 16:15:00+00:00,0.0,0.526,0.771
2025-11-12 16:30:00+00:00,0.0,0.525,0.767
2025-11-12 16:45:00+00:00,0.0,0.526,0.763
2025-11-12 17:00:00+00:00,0.0,0.527,0.759
2025-11-12 17:15:00+00:00,0.0,0.523,0.755
2025-11-12 17:30:00+00:00,0.0,0.527,0.751
2025-11-12 17:45:00+00:00,0.0,0.523,0.747
2025-11-12 18:00:00+00:00,0.0,0.521,0.743
2025-11-12 18:15:00+00:00,0.0,0.521,0.739
2025-11-12 18:30:00+00:00,0.0,0.519,0.735
2025-11-12 18:45:00+00:00,0.0,0.524,0.733
2025-11-12 19:00:00+00:00,0.0,0.526,0.729
2025-11-12 19:15:00+00:00,0.0,0.524,0.725
2025-11-12 19:30:00+00:00,0.0,0.523,0.723
2025-11-12 19:45:00+00:00,0.0,0.521,0.719
2025-11-12 20:00:00+00:00,0.0,0.523,0.717
2025-11-12 20:15:00+00:00,0.0,0.523,0.715
2025-11-12 20:30:00+00:00,0.0,0.522,0.711
2025-11-12 20:45:00+00:00,0.2,0.521,0.709
2025-11-12 21:00:00+00:00,0.7,0.52,0.709
2025-11-12 21:15:00+00:00,0.0,0.523,0.707
2025-11-12 21:30:00+00:00,0.1,0.522,0.705
2025-11-12 21:45:00+00:00,0.1,0.523,0.705
2025-11-12 22:00:00+00:00,0.4,0.519,0.703
2025-11-12 22:15:00+00:00,0.2,0.523,0.701
2025-11-12 22:30:00+00:00,0.3,0.525,0.701
2025-11-12 22:45:00+00:00,0.2,0.528,0.701
2025-11-12 23:00:00+00:00,1.4,0.527,0.705
2025-11-12 23:15:00+00:00,0.0,0.525,0.705
2025-11-12 23:30:00+00:00,0.0,0.531,0.709
2025-11-12 23:45:00+00:00,0.0,0.531,0.721
